Player_name,Date_of_Birth,Position,Age,Place_of_Birth,Nation,Grip,Youth_Team,Height_cm,Height_ft,Weight_kg,Weight_lbs,Awards,Player_link
Maxim Osipov,1993-08-31 00:00:00,D,29,"Yaroslavl, RUS",Russia,R,Lokomotiv Yaroslavl,187,"6'2""",92,203 lbs,{},https://www.eliteprospects.com/player/158499/maxim-osipov
Daniil Ilyin,1995-06-17 00:00:00,C,27,"Penza, RUS",Russia,L,Dizel Penza,181,"5'11""",85,187 lbs,"{""2014-2015"": [""MHL Champion""], ""2015-2016"": [""KHL Rookie of the Week  (Aug. 30)""], ""2016-2017"": [""Universiade Gold Medal""]}",https://www.eliteprospects.com/player/159083/daniil-ilyin
Krys Kolanos,1981-07-27 00:00:00,C/W,41,"Calgary, AB, CAN","Canada
    
            / 
            Poland",R,Calgary Flames Midget,191,"6'3""",93,205 lbs,"{""1997-1998"": [""Air Canada Cup Most Sportsmanlike Player""], ""1998-1999"": [""AJHL (South) All-Rookie Team""], ""1999-2000"": [""NCAA (Hockey East) All-Rookie Team""], ""2000-2001"": [""NCAA (Championship) Winner"", ""NCAA (East) Second All-American Team"", ""NCAA (Hockey East) Champion"", ""NCAA (Hockey East) Regular Season Champion"", ""NCAA (Hockey East) Second All-Star Team"", ""NCAA Second Team All-American""], ""2001-2002"": [""NHL Rookie of the Month  (December)""], ""2002-2003"": [""World Championship Gold Medal""], ""2008-2009"": [""AHL Player of the Week  (Apr. 12)""], ""2011-2012"": [""AHL All-Star Game"", ""AHL Performance of the Month  (March)"", ""AHL Player of the Week  (Oct. 30)"", ""AHL Player of the Week  (Apr. 8)""], ""2016-2017"": [""AlpsHL Most Assists Playoffs  (12)"", ""AlpsHL Most Points Playoffs  (20)""], ""2017-2018"": [""Polish Cup Champion  (GKS Tychy)""]}",https://www.eliteprospects.com/player/8716/krys-kolanos
Sakari Salminen,1988-05-31 00:00:00,RW/LW,35,"Pori, FIN",Finland,R,Ässät,179,"5'10""",75,165 lbs,"{""2005-2006"": [""U18 SM-sarja Silver Medal""], ""2007-2008"": [""U20 SM-liiga Best PPG  (1.92)"", ""U20 SM-liiga Most Game Winning Goals  (5)"", ""U20 SM-liiga Second All-Star Team"", ""U20 SM-liiga Silver Medal""], ""2012-2013"": [""SM-liiga All-Star Team"", ""SM-liiga Golden Helmet""], ""2013-2014"": [""Olympic Bronze Medal""]}",https://www.eliteprospects.com/player/13635/sakari-salminen
Sergei Tverdokhlebov,1993-01-26 00:00:00,C,30,"Malin, UKR",Russia,R,Sputnik Nizhny Tagil,190,"6'3""",90,198 lbs,{},https://www.eliteprospects.com/player/94687/sergei-tverdokhlebov
Wojtek Wolski,1986-02-24 00:00:00,LW/RW,37,"Zabrze, POL","Canada
    
            / 
            Poland",L,Toronto Marlboros MHA,190,"6'3""",100,220 lbs,"{""2002-2003"": [""Canada Winter Games Bronze Medal"", ""OHL First All-Rookie Team""], ""2003-2004"": [""CHL Top Prospects Game"", ""OHL First All-Star Team""], ""2005-2006"": [""OHL Most Outstanding Player (Red Tilson Trophy)"", ""OHL Most Sportsmanlike Player (William Hanley Trophy)"", ""OHL Second All-Star Team""], ""2006-2007"": [""NHL Rookie of the Month  (December)"", ""NHL YoungStars Roster""], ""2014-2015"": [""KHL All-Star Game""], ""2015-2016"": [""KHL Gagarin Cup Champion""], ""2017-2018"": [""Olympic Bronze Medal""]}",https://www.eliteprospects.com/player/8832/wojtek-wolski
Ilya Yamkin,1994-02-17 00:00:00,LW,29,"Nizhny Novgorod, RUS",Russia,L,Torpedo Nizhny Novgorod,181,"5'11""",92,203 lbs,"{""2014-2015"": [""MHL Champion""]}",https://www.eliteprospects.com/player/106724/ilya-yamkin
Daniil Zharkov,1994-02-06 00:00:00,LW,29,"St. Petersburg, RUS",Russia,L,SKA St. Petersburg,194,"6'4""",99,218 lbs,"{""2008-2009"": [""Russia U15 Silver Medal""], ""2011-2012"": [""CHL Top Prospects Game""], ""2012-2013"": [""Jr Super Series Champion"", ""U20 WJC Bronze Medal""], ""2014-2015"": [""MHL Champion""], ""2017-2018"": [""VHL Champion""]}",https://www.eliteprospects.com/player/103517/daniil-zharkov
Rihards Cimermanis,1993-03-22 00:00:00,G,30,"Riga, LAT",Latvia,L,-,183,"6'0""",75,165 lbs,"{""2010-2011"": [""U18 WJC (D1|A) Best GAA  (0.50)"", ""U18 WJC (D1|A) Gold Medal"", ""U18 WJC (D1|A) Top Player on Team""], ""2011-2012"": [""Latvia Most Shutouts  (2)""], ""2014-2015"": [""Latvian League Bronze Medal""], ""2016-2017"": [""Latvia All-Star Game"", ""Latvia Most Shutouts  (1)""], ""2017-2018"": [""Latvia Most Shutouts  (2)"", ""Latvia Player of the Month  (November)"", ""Latvia Silver Medal""], ""2018-2019"": [""Latvian League Bronze Medal""], ""2020-2021"": [""Latvia Best GAA  (1.80)"", ""Latvia Best Goaltender"", ""Latvia Best SVS  (.932)"", ""Latvia Media All-Star Team"", ""Latvia Most Shutouts  (5)"", ""Latvia Most Wins  (20)"", ""Latvia Player of the Month  (December)"", ""Latvia Silver Medal""], ""2021-2022"": [""Latvia Most Wins  (15)"", ""Latvian Champion""], ""2022-2023"": [""Latvia Best GAA  (0.88)"", ""Latvian Champion""]}",https://www.eliteprospects.com/player/72718/rihards-cimermanis
Nils Grinfogels,1994-05-28 00:00:00,G,29,"Riga, LAT",Latvia,R,Aisbergs,188,"6'2""",85,187 lbs,"{""2009-2010"": [""Latvia U18 Champion""], ""2012-2013"": [""MHL B Goaltender of the Month  (January)"", ""MHL B Playoffs Best SVS%  (.938)""], ""2015-2016"": [""Latvia All-Star Game"", ""Latvian Champion""], ""2017-2018"": [""Latvian Champion""]}",https://www.eliteprospects.com/player/52406/nils-grinfogels
Jakub Sedlacek,1990-04-05 00:00:00,G,33,"Zlin, CZE",Czechia,L,HC Zlin,175,"5'9""",78,172 lbs,"{""2005-2006"": [""Czechia U18 Best GAA  (1.53)"", ""Czechia U18 Most Shutouts  (7)"", ""Czechia U18 Playoffs Best GAA  (1.37)"", ""Czechia U18 Playoffs Best SVS%  (.947)""], ""2006-2007"": [""Czechia U18 Best GAA  (1.70)"", ""Czechia U18 Best SVS%  (.932)"", ""Czechia U18 Champion"", ""Czechia U18 Most Shutouts  (4)""], ""2007-2008"": [""Czechia U20 Best GAA  (2.12)"", ""Czechia U20 Best SVS%  (.935)"", ""Czechia U20 Most Wins  (27)"", ""Czechia U20 Playoffs Best SVS%  (.947)""], ""2008-2009"": [""Czech Extraliga Best SVS%  (.943)""], ""2009-2010"": [""Czech Extraliga Most Wins  (31)""], ""2012-2013"": [""Czech Extraliga Silver Medal""], ""2015-2016"": [""KHL Goaltender of the Week  (Feb. 21)""]}",https://www.eliteprospects.com/player/23719/jakub-sedlacek
Mat Robinson,1986-06-20 00:00:00,D,36,"Calgary, AB, CAN",Canada,R,Simons Valley MHA,176,"5'9""",82,181 lbs,"{""2003-2004"": [""AJHL (South) All-Rookie Team""], ""2008-2009"": [""NCAA (WCHA) All-Academic Team""], ""2009-2010"": [""ECHL Plus Performer of the Month  (January)""], ""2010-2011"": [""Norway Most Goals by Defenseman  (14)"", ""Norway Most Points by Defenseman  (43)"", ""Norwegian All-Star Team"", ""Norwegian Champion""], ""2013-2014"": [""KHL Gentleman Award""], ""2015-2016"": [""KHL All-Star Game"", ""KHL Best Plus/Minus  (31)"", ""KHL Defenseman of the Month  (September)"", ""KHL Defenseman of the Month  (January)"", ""KHL Defenseman of the Week  (Oct. 4)"", ""KHL Defenseman of the Week  (Aug. 30)"", ""KHL Most Goals by Defenseman  (14)""], ""2016-2017"": [""KHL All-Star Game"", ""KHL Defenseman of the Month  (September)""], ""2017-2018"": [""Olympic Bronze Medal""], ""2018-2019"": [""KHL All-Star Game"", ""KHL Defenseman of the Month  (April)"", ""KHL Defenseman of the Month  (March)"", ""KHL Defenseman of the Week  (Gagarin Cup Finals)"", ""KHL Gagarin Cup Champion"", ""KHL Playoffs Most Goals by Defenseman  (5)""], ""2019-2020"": [""KHL All-Star Game"", ""KHL Best Plus/Minus  (35)""], ""2020-2021"": [""KHL First All-Star Team""]}",https://www.eliteprospects.com/player/34096/mat-robinson
Edgars Siksna,1993-01-15 00:00:00,D,30,"Riga, LAT",Latvia,R,Metalurgs Liepaja,187,"6'2""",94,207 lbs,"{""2010-2011"": [""Latvian Champion"", ""U18 WJC (D1|A) Gold Medal""], ""2011-2012"": [""Latvian Champion""], ""2018-2019"": [""VHL Champion""], ""2020-2021"": [""Kazakhstan Best Defenseman"", ""Kazakhstan Champion""], ""2021-2022"": [""Kazakhstan Best Defenseman"", ""Kazakhstan Champion"", ""Kazakhstan Defenseman of the Month  (October)""], ""2022-2023"": [""Kazakhstan Defenseman of the Month  (November)""]}",https://www.eliteprospects.com/player/49557/edgars-siksna
Rustams Begovs,1993-06-26 00:00:00,C,29,"Olaine, LAT",Latvia,L,HS Riga,180,"5'11""",74,163 lbs,"{""2015-2016"": [""Latvian Cup Champion"", ""Latvian League Bronze Medal""], ""2016-2017"": [""Latvia Playoffs Most Goals  (7)"", ""Latvia Playoffs Most Points  (11)"", ""Latvia Silver Medal"", ""Latvian Cup Champion""], ""2017-2018"": [""Latvian Cup Champion"", ""Latvian League Bronze Medal""], ""2018-2019"": [""Latvian League Bronze Medal""], ""2020-2021"": [""Latvia Silver Medal""]}",https://www.eliteprospects.com/player/50412/rustams-begovs
